"","custid","SUBSCRIBE","Disc","Title","LastOrder","Pcode","DA_Income","DA_Under20","DA_Over60","DA_Single","NumDeliv","NumMeals","MealsPerDeliv","Healthy","Veggie","Meaty","Special","TotPurch","Weeks3Meals","Sample"
"77",1985729,"N","NA","Mr",2018-02-11,"E6L 2W",61.1,195,173,31,42,25,0.595238095238095,0,1,2,22,289.176542358473,NA,"Validation"
"78",1465833,"N","NA","Ms",2018-02-24,"H7B 0V",70,260,94,35,27,54,2,19,1,8,26,704.800235062838,NA,"Validation"
"79",1187375,NA,"NA","NA",2018-01-31,"E5J 0E",71.5,226,145,58,20,40,2,17,1,0,22,424.957261383533,NA,"Holdout"
"80",3304040,"N","NA","NA",2018-02-02,"L7J 0W",58.2,299,156,69,18,54,3,10,4,0,40,721.12105390057,NA,"Validation"
"81",1641373,"N","Student","Ms",2017-11-07,"J2N 1S7",58.6,185,111,45,14,42,3,15,0,8,19,502.068149965256,NA,"Validation"
"82",3169842,"N","NA","Mr",2017-11-24,"N3Y 3P6",67.3,12,170,39,9,18,2,10,0,4,4,196.19094517082,NA,"Validation"
"83",2794238,"N","Senior","NA",2018-02-08,"S9X 1X3",NA,242,NA,NA,18,36,2,14,0,5,17,451.120093233883,NA,"Validation"
"84",2594433,"N","NA","Mrs",2018-02-18,"T1G 1Z9",39.5,127,116,26,9,9,1,1,0,3,5,91.4793898500502,NA,"Validation"
"85",1766434,"N","NA","NA",2017-12-24,"H7X 3H8",81.9,234,158,58,24,24,1,19,0,0,5,264.283975034952,NA,"Validation"
"86",1889360,"N","NA","NA",2018-02-22,"J4V 0C8",76.7,131,106,36,19,57,3,3,2,6,46,738.04719957523,NA,"Estimation"
"87",3154740,NA,"NA","Ms",2018-02-14,"T9M 1G6",91.3,193,163,55,26,78,3,3,12,10,53,935.85360892117,NA,"Holdout"
"88",1209215,"N","Student","NA",2018-02-01,"A1Y 2E4",63.9,161,144,0,37,74,2,46,10,7,11,929.928495693952,NA,"Estimation"
"89",2197878,"N","Senior","NA",2018-01-07,"V4V 3E8",77.4,182,195,27,26,52,2,14,13,25,0,567.501438312232,NA,"Validation"
"90",2320502,"N","Senior","NA",2018-02-20,"H8R 2L",75.3,154,118,62,9,9,1,0,0,0,9,117.605513328686,NA,"Estimation"
"91",1904560,NA,"NA","Mr",2018-01-13,"T4X 1T",59.1,131,191,23,29,87,3,16,1,12,58,1023.17027133331,NA,"Holdout"
"92",3010517,NA,"NA","Mrs",2018-02-11,"K1E 2Y",94.2,213,131,59,37,74,2,32,12,29,1,792.188929952681,NA,"Holdout"
"93",1306360,NA,"NA","Mr",2017-12-06,"G4W 0G",93.2,114,147,5,19,38,2,1,5,13,19,403.621710244566,NA,"Holdout"
"94",1940899,"N","NA","Mr",2017-12-14,"L4P 1W",84,180,164,23,24,24,1,10,0,14,0,300.389978796244,NA,"Estimation"
"95",2375939,"Y","NA","Mr",2018-02-23,"J5A 0H",101.7,178,221,29,21,63,3,44,7,10,2,647.012095078826,1,"Validation"
"96",1851101,"N","NA","Ms",2018-02-18,"L9T 2J",81.2,155,131,9,12,24,2,3,0,0,21,266.231283500791,NA,"Validation"
"97",2622082,"Y","NA","NA",2018-02-18,"J4V 2J",44.5,321,183,44,48,96,2,71,14,8,3,1015.87174236774,6,"Estimation"
"98",1984450,NA,"NA","Mr",2018-02-24,"H9P 3P",58.5,69,94,28,15,30,2,14,2,14,0,415.005997885019,NA,"Holdout"
"99",2636204,"N","NA","Mrs",2018-01-31,"R4K 0G",45.5,202,110,28,23,69,3,12,2,11,44,822.161590218544,NA,"Estimation"
"100",2935091,NA,"NA","NA",2018-01-20,"T1G 0E",60.5,115,147,34,35,70,2,6,7,3,54,902.814707197249,NA,"Holdout"
"101",2858435,NA,"Senior","NA",2017-12-13,"E8T 3S3",57.6,106,167,63,16,32,2,1,2,8,21,429.338146984577,0,"Holdout"
"102",1957763,"N","NA","NA",2017-11-28,"J6N 0T0",70.8,196,168,80,19,57,3,42,0,9,6,789.698576336727,NA,"Estimation"
"103",1376511,NA,"NA","Mr",2017-12-15,"A2H 0A1",51.8,353,106,34,26,52,2,18,0,14,20,606.47630019486,NA,"Holdout"
"104",1861409,"N","NA","Mr",2018-02-16,"G3Z 3W6",73.2,299,134,38,28,56,2,11,8,3,34,682.22783537209,NA,"Estimation"
"105",1674084,NA,"NA","Ms",2018-01-15,"H7M 3P8",56.9,212,159,34,21,21,1,3,6,12,0,241.497092150152,NA,"Holdout"
"106",2894582,"N","NA","Ms",2017-12-06,"E6J 1G9",105.3,154,104,53,15,30,2,17,2,9,2,411.778523270041,NA,"Estimation"
"107",3120716,"N","NA","Dr",2018-01-09,"P8N 0L7",84.3,342,177,59,16,32,2,19,4,6,3,399.501644015312,NA,"Validation"
"108",2283709,"N","Senior","Mr",2018-02-06,"N7G 3K3",88.2,183,155,112,28,56,2,0,5,6,45,622.229844167829,NA,"Estimation"
"109",2046991,"N","NA","Mrs",2018-01-30,"J8A 0T8",77.7,137,164,24,23,46,2,0,5,0,41,571.688951466233,NA,"Estimation"
"110",2631217,"N","NA","Mr",2017-11-27,"K7G 1Y",103.6,104,171,10,15,30,2,0,1,8,21,359.430418331176,NA,"Validation"
"111",2015683,"N","NA","Mrs",2017-12-09,"G5H 3S",NA,159,NA,NA,17,51,3,48,0,3,0,511.003743309528,NA,"Estimation"
"112",2271116,"Y","NA","Ms",2018-01-23,"G5B 1H",60.8,316,179,27,31,62,2,41,0,21,0,812.068864315748,4,"Estimation"
"113",1950684,"N","NA","NA",2018-02-02,"E7L 3L",98.6,276,171,68,29,58,2,5,14,0,39,696.210732795298,NA,"Validation"
"114",2253315,NA,"NA","Mr",2018-01-03,"B2T 2W",57,239,229,51,13,39,3,0,4,14,21,500.167376797646,NA,"Holdout"
"115",3222974,"N","NA","Mrs",2018-02-28,"J2W 0H",65.9,85,65,44,10,20,2,2,2,0,16,257.993630059063,NA,"Estimation"
"116",1744045,NA,"NA","Ms",2017-12-14,"G5T 2B",62.1,180,186,26,13,26,2,2,0,5,19,333.348251417279,NA,"Holdout"
"117",2941100,"N","Student","NA",2018-01-06,"E7B 3X",63.6,276,73,67,31,93,3,2,24,19,48,1099.98880285956,NA,"Validation"
"118",1899314,"N","Student","Mrs",2018-01-14,"V0L 3S",64.4,178,101,15,31,62,2,45,2,15,0,805.394618902355,NA,"Estimation"
"119",1991754,"N","NA","Mr",2018-02-10,"B1B 1J",79.9,152,130,29,21,21,1,9,0,4,8,280.244376981631,NA,"Estimation"
"120",1367227,NA,"Senior","Mrs",2017-12-14,"H0H 2B",66.5,203,130,91,12,36,3,10,8,4,14,434.053243473172,8,"Holdout"
"121",3202811,"N","NA","NA",2017-12-03,"B0V 2H9",59.9,150,129,25,9,18,2,1,9,2,6,238.790531314909,NA,"Estimation"
"122",2068442,"N","NA","NA",2018-01-31,"J6R 3P0",96.9,175,105,23,24,48,2,1,9,2,36,629.203803598881,NA,"Validation"
"123",1389680,NA,"Student","NA",2018-02-11,"L9N 0L2",65.7,367,99,35,32,96,3,54,1,8,33,1205.60418874025,1,"Holdout"
"124",2349029,"N","Senior","Mr",2018-02-16,"B1K 1E1",66.4,238,155,41,22,66,3,21,8,8,29,890.679547660053,NA,"Estimation"
"125",1430516,"Y","NA","NA",2018-03-01,"L3V 1R5",68,287,91,23,7,14,2,3,0,4,7,158.924027971923,6,"Validation"
"126",1808510,"N","NA","NA",2017-12-21,"G0S 1C4",84.3,203,169,21,19,38,2,12,2,16,8,460.996522307396,NA,"Estimation"
"127",1432541,"Y","NA","Mrs",2018-02-20,"T1L 2L5",68.5,168,138,23,43,25,0.581395348837209,16,0,0,9,258.008714020252,3,"Validation"
"128",3069510,"N","Senior","NA",2017-12-20,"T1P 0G1",69.2,246,174,86,17,34,2,27,0,0,7,369.149197138846,NA,"Estimation"
"129",3063578,"N","NA","Ms",2018-02-06,"V1R 2A4",56.4,96,148,33,15,30,2,21,0,9,0,411.735109928995,NA,"Estimation"
"130",2748516,NA,"NA","Ms",2018-01-26,"B1K 2R",63.5,302,87,74,34,68,2,13,17,1,37,849.532385058701,NA,"Holdout"
"131",2591443,NA,"NA","Ms",2018-03-01,"J0M 0C",71.2,184,129,85,21,42,2,1,6,0,35,442.521095708013,NA,"Holdout"
"132",1568601,"N","NA","NA",2017-12-25,"J0E 1H",58.2,11,173,52,21,42,2,0,29,13,0,559.891644638032,NA,"Estimation"
"133",1144863,"Y","Student","Mrs",2018-01-10,"H7X 3L",NA,139,NA,NA,23,46,2,33,8,0,5,616.428749132901,1,"Estimation"
"134",2214699,"N","Student","NA",2018-02-25,"M8V 2J",39.6,171,200,44,35,70,2,6,5,7,52,704.745774064213,NA,"Estimation"
"135",2088984,NA,"NA","NA",2017-12-11,"E5M 3X",76.1,339,182,42,20,40,2,6,2,6,26,483.303787410259,NA,"Holdout"
"136",2570330,"N","NA","NA",2017-12-09,"E4T 0H",39.3,194,111,56,19,38,2,7,1,5,25,399.758203361183,NA,"Validation"
"137",1986714,"N","Senior","Mrs",2018-02-01,"H3J 1L",64,96,129,39,34,68,2,47,9,12,0,790.859462104738,NA,"Validation"
"138",2178446,"N","NA","Ms",2017-11-26,"G6G 0C",59.4,179,216,51,13,13,1,4,0,3,6,156.608429355547,NA,"Validation"
"139",3045584,"N","NA","NA",2018-01-17,"E2A 1T",57,136,164,14,24,24,1,0,1,8,15,334.733147576451,NA,"Validation"
"140",3073896,"Y","Student","Mr",2018-02-14,"E5T 3G",68.9,89,157,5,37,74,2,49,5,19,1,745.078077659011,2,"Validation"
"141",1932786,"N","NA","Mrs",2017-11-15,"K9V 2C1",31.7,153,227,43,16,32,2,19,0,6,7,442.663645982742,NA,"Validation"
"142",2096320,NA,"Senior","NA",2017-12-31,"B1G 3Z9",93.5,70,171,60,12,12,1,10,0,1,1,158.611463874578,NA,"Holdout"
"143",1487530,"N","Senior","NA",2017-12-08,"T4L 0G4",36.7,387,122,52,16,32,2,6,0,0,26,434.203829050064,NA,"Estimation"
"144",3238285,NA,"NA","Ms",2017-12-05,"E4H 0Z5",60.7,219,232,25,20,40,2,0,1,0,39,533.211201131344,NA,"Holdout"
"145",2194176,"N","NA","NA",2018-02-22,"G6G 1L2",47.7,243,303,4,40,40,1,16,5,8,11,447.469293251634,NA,"Estimation"
"146",3000227,"N","NA","Ms",2018-01-24,"E1J 2Y1",55,119,149,9,32,64,2,4,0,3,57,836.42054104805,NA,"Estimation"
"147",1205389,NA,"NA","Mr",2017-12-28,"R9A 2T9",111.7,290,209,2,11,22,2,7,6,2,7,293.403545342386,2,"Holdout"
"148",2329563,NA,"NA","Mr",2017-11-28,"K2S 1Z3",70.3,236,113,70,13,26,2,18,0,8,0,332.017357666045,NA,"Holdout"
"149",2096292,"N","NA","NA",2017-12-03,"T4V 0R3",44.3,134,95,50,17,34,2,20,6,4,4,340.225870899856,NA,"Estimation"
"150",1673126,"N","NA","Ms",2018-01-31,"R5G 2J",37.2,192,139,36,21,42,2,9,10,11,12,549.105186536908,NA,"Estimation"
"151",2696620,"N","Senior","Ms",2018-02-09,"J0X 2W",79,172,94,15,14,14,1,8,0,1,5,192.425039980561,NA,"Validation"
"152",2017007,NA,"NA","NA",2018-02-14,"E8A 3R",69.6,290,268,31,38,76,2,6,3,64,3,803.493281908333,NA,"Holdout"
"153",2152518,"N","NA","NA",2018-02-03,"K7G 0Y",63.6,188,177,41,21,42,2,7,2,1,32,567.277400426567,NA,"Validation"
"154",2475619,"N","NA","NA",2017-11-11,"G6L 3T",51.4,275,113,19,11,22,2,3,1,0,18,224.768841013312,NA,"Estimation"
"155",2042380,NA,"Senior","NA",2018-02-08,"B2E 1P",40.3,251,276,60,41,25,0.609756097560976,8,0,9,8,320.40178142488,NA,"Holdout"
"156",1972275,"N","NA","NA",2018-01-22,"R1A 1W",48.5,179,131,23,13,26,2,0,7,6,13,268.09030175209,NA,"Validation"
"157",3153593,NA,"NA","NA",2018-01-24,"G5V 1H",90,196,150,26,9,9,1,2,1,4,2,103.32638631016,NA,"Holdout"
"158",3172898,"N","NA","NA",2017-12-16,"J8N 2W",57.6,139,141,60,25,75,3,11,23,13,28,845.266328332946,NA,"Validation"
"159",2711854,NA,"NA","Ms",2018-02-04,"M4W 2R",42.3,165,149,33,24,48,2,19,6,21,2,639.707861959934,NA,"Holdout"
"160",3191540,"Y","NA","NA",2018-02-24,"J5R 0V",107.4,102,171,11,50,100,2,58,3,37,2,1012.37926091999,0,"Estimation"
"161",2008951,"N","NA","Mrs",2018-01-30,"N3Y 0L3",78.5,170,106,46,15,30,2,16,0,13,1,312.277323715389,NA,"Validation"
"162",1297412,"N","NA","Mr",2018-01-24,"L7B 0K9",65.2,174,164,26,19,38,2,23,0,8,7,474.184711303562,NA,"Validation"
"163",3091071,"N","NA","Mr",2017-12-08,"E3E 3C8",91.2,184,101,34,23,23,1,0,2,1,20,279.565333586186,NA,"Validation"
"164",1734847,"N","NA","Mr",2017-12-25,"M1B 2Y6",87.7,374,127,18,17,34,2,4,12,18,0,400.694563053548,NA,"Validation"
"165",1911685,"N","Student","Mrs",2018-02-07,"L7J 1W0",57.6,210,145,43,27,54,2,40,0,1,13,738.664004713297,NA,"Validation"
"166",1361481,"N","NA","NA",2018-02-21,"B2G 2Z3",114.1,96,90,4,35,105,3,40,1,9,55,1359.04301865958,NA,"Estimation"
"167",2045725,"N","NA","Mrs",2018-02-19,"T4X 2L5",64.9,265,148,2,20,40,2,36,2,1,1,545.602135807276,NA,"Estimation"
"168",2314197,"N","NA","Dr",2018-01-17,"L9S 0V2",41.5,179,195,67,32,96,3,38,10,38,10,1039.49824172258,NA,"Estimation"
"169",2879346,NA,"NA","Mrs",2018-01-02,"E8P 0P8",NA,298,NA,NA,19,19,1,0,0,0,19,219.459525337443,NA,"Holdout"
"170",2579392,NA,"Senior","Mr",2018-02-21,"E7P 3V",74.2,203,119,37,14,14,1,7,0,0,7,182.998283419758,NA,"Holdout"
"171",2463328,NA,"NA","Mr",2017-11-22,"E4X 3R",116.2,312,183,45,10,30,3,3,0,8,19,314.579532444477,NA,"Holdout"
"172",1111150,NA,"NA","Mrs",2018-01-10,"E8P 2J",72.1,198,130,33,28,56,2,2,1,25,28,682.777931198478,NA,"Holdout"
"173",1185496,NA,"NA","Mrs",2017-12-21,"T7Z 0L",79.1,162,230,69,13,13,1,1,0,0,12,140.214010005817,NA,"Holdout"
"174",1790108,"N","NA","Mrs",2018-01-11,"J5A 1G",68.5,338,152,38,29,58,2,21,18,0,19,641.627547644079,NA,"Validation"
"175",2536557,"N","NA","Dr",2017-12-08,"E5P 2J",63.3,104,141,35,14,28,2,1,1,13,13,384.185985468328,NA,"Estimation"
"176",1844194,NA,"NA","Mr",2017-11-28,"J8N 0S",69.3,229,201,62,21,63,3,51,9,2,1,807.747471146286,NA,"Holdout"
"177",2920176,"N","NA","NA",2017-12-08,"E5M 0C",85.8,131,163,61,20,60,3,13,45,0,2,620.858781561255,NA,"Validation"
"178",3057821,NA,"NA","NA",2018-01-10,"J1A 3L",111.5,283,124,38,10,10,1,1,0,2,7,131.446617357433,NA,"Holdout"
"179",1862806,"Y","NA","Mr",2018-02-24,"E7B 0V",90.5,230,219,53,40,80,2,18,5,57,0,849.109460860491,2,"Validation"
"180",1817653,"N","NA","NA",2017-12-01,"E5A 0R",94.2,169,105,36,22,66,3,0,8,13,45,737.821864709258,NA,"Estimation"
"181",1949001,"N","NA","NA",2017-11-12,"N4X 2K1",45.4,173,113,47,13,26,2,4,3,8,11,322.586767029017,NA,"Estimation"
"182",2738686,NA,"NA","NA",2017-11-01,"G0C 3L6",89.7,262,128,26,9,18,2,2,2,3,11,208.314550839365,0,"Holdout"
"183",2264960,"N","NA","Mr",2018-02-19,"J3T 1W6",74.4,125,158,45,12,24,2,17,4,2,1,248.334286406636,NA,"Estimation"
"184",2447663,"N","Senior","Mr",2018-02-03,"J5W 0S1",40.7,145,145,27,18,36,2,4,0,6,26,367.755596570671,NA,"Validation"
"185",3115552,"Y","NA","Mr",2017-12-28,"G0T 0J4",80.4,228,164,36,15,45,3,21,6,1,17,596.400173362345,2,"Validation"
"186",2594084,NA,"NA","Mrs",2018-01-16,"A0E 1Y1",66.8,252,182,30,33,66,2,4,12,11,39,878.381260927767,5,"Holdout"
"187",2400863,"N","NA","Ms",2018-01-26,"J5A 2L3",99.3,79,135,85,32,32,1,11,2,7,12,411.909422039986,NA,"Estimation"
